title,author,link,home,rss,date,timestamp
今日无事，除了一些技术咨询,纸鹿摸鱼处,https://blog.zhilu.site/2024/helping-day,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-03-10,1710076478.0
系统引导配置分享,纸鹿摸鱼处,https://blog.zhilu.site/2024/boot-management,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-03-01,1709273179.0
病毒高占用CPU，三天杀俩,纸鹿摸鱼处,https://blog.zhilu.site/2024/virus-trueupdate,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-02-29,1709222083.0
运营商又想多收话费了,纸鹿摸鱼处,https://blog.zhilu.site/2024/carrier-overbilling,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-02-23,1708684345.0
电脑连接手机，手机给电脑传文件……,纸鹿摸鱼处,https://blog.zhilu.site/2024/link-util,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-01-31,1706718528.0
Moonlight 串流指南,纸鹿摸鱼处,https://blog.zhilu.site/2024/moonlight-streaming-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-01-18,1705575535.0
SSH 免密登录,纸鹿摸鱼处,https://blog.zhilu.site/2023/ssh-key-login,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-12-25,1703492100.0
Termux 简单指南,纸鹿摸鱼处,https://blog.zhilu.site/2023/termux-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-11-13,1699883408.0
Tailscale 不完全使用指南,纸鹿摸鱼处,https://blog.zhilu.site/2023/tailscale-incomplete-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-10-08,1696732440.0
Windows 安装指南,纸鹿摸鱼处,https://blog.zhilu.site/2023/windows-setup-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-09-24,1695528000.0
Arch Linux 易用性及美化,纸鹿摸鱼处,https://blog.zhilu.site/2023/archlinux-beautify,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-07-24,1690205265.0
Arch Linux 初步配置,纸鹿摸鱼处,https://blog.zhilu.site/2023/archlinux-configure,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-06-24,1687570275.0
使用 ArchInstall 安装 Arch Linux,纸鹿摸鱼处,https://blog.zhilu.site/2023/archinstall-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-05-23,1684845427.0
VS Code 简单配置项,纸鹿摸鱼处,https://blog.zhilu.site/2023/vscode-simple-config,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2023-04-13,1681387550.0
他修电脑又遇到了我,纸鹿摸鱼处,https://blog.zhilu.site/2021/classroom-pc-3,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2021-12-05,1638673380.0
修监控 (授权转载),纸鹿摸鱼处,https://blog.zhilu.site/2021/classroom-pc-2,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2021-07-08,1625760000.0
被大块落冰砸中的话——,纸鹿摸鱼处,https://blog.zhilu.site/2010s/danger-falling-ice,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2018-01-04,1515072354.0
